Puntos,Tiempos
0,3.298
0,1.4149999999999996
0,1.234
1,2.9239999999999995
0,1.221
0,1.1989999999999998
2,4.716999999999999
0,1.272000000000002
0,0.5530000000000008
0,1.2109999999999983
0,1.2059999999999995
0,0.5970000000000013
0,1.2040000000000006
0,1.2029999999999994
0,1.2070000000000007
0,1.2020000000000015
0,1.2109999999999983
1,2.9250000000000007
0,1.2070000000000007
0,1.1980000000000004
0,1.2010000000000003
0,1.2010000000000003
0,0.5470000000000041
0,1.1999999999999955
0,1.2000000000000028
0,1.1980000000000004
0,1.203000000000003
0,1.1999999999999955
0,1.3260000000000003
1,2.9239999999999995
0,1.233000000000004
0,1.2079999999999984
0,1.328000000000003
0,1.2000000000000028
0,1.306999999999995
0,1.2070000000000007
1,1.411999999999999
0,1.0529999999999973
0,1.2010000000000003
0,1.2120000000000033
0,1.0990000000000038
0,0.3919999999999959
0,1.195999999999998
0,1.2339999999999949
0,1.1090000000000018
0,1.2009999999999934
0,1.206000000000003
0,1.2479999999999905
0,1.1980000000000075
0,1.2009999999999934
1,1.4320000000000022
0,1.3130000000000024
1,1.7620000000000005
0,0.9539999999999936
0,1.2090000000000032
0,1.2040000000000075
0,1.2049999999999983
0,1.1939999999999884
0,1.2049999999999983
0,1.2049999999999983
0,1.2109999999999983
0,1.198999999999998
0,1.1980000000000075
0,0.7999999999999972
0,1.3320000000000078
0,1.1970000000000027
0,1.2009999999999934
0,1.195999999999998
0,1.203000000000003
0,1.2019999999999982
0,1.2049999999999983
1,1.3590000000000089
0,1.2010000000000076
0,0.9519999999999982
0,0.6430000000000007
0,1.222999999999999
0,1.1979999999999933
0,1.2209999999999894
0,1.3079999999999927
1,1.4710000000000036
0,1.2049999999999983
0,0.7999999999999972
0,1.1980000000000075
0,1.0200000000000102
0,1.2049999999999983
0,1.2070000000000078
0,1.2050000000000125
0,1.0
0,1.1950000000000074
0,1.2019999999999982
1,1.3640000000000043
0,1.1950000000000074
0,0.4919999999999902
0,1.203000000000003
0,1.206000000000003
0,1.3309999999999889
0,1.1970000000000027
0,1.2049999999999983
0,1.2510000000000048
0,1.2040000000000075
0,1.1980000000000075
0,1.210000000000008
0,1.2079999999999984
0,1.1990000000000125
0,0.7019999999999982
0,0.8930000000000007
0,1.195999999999998
1,1.4359999999999786
0,1.2040000000000075
0,1.2009999999999934
1,1.4089999999999918
0,1.2060000000000173
0,1.2080000000000268
0,1.2069999999999936
0,1.2050000000000125
0,1.2040000000000075
0,1.2490000000000236
0,2.929000000000002
0,1.210000000000008
0,1.2040000000000075
0,1.3300000000000125
1,2.109999999999985
1,2.942999999999984
0,1.3410000000000082
2,3.067000000000008
0,1.217999999999989
0,1.195999999999998
0,1.2090000000000032
2,4.64500000000001
1,1.4470000000000027
0,1.2329999999999757
0,1.2009999999999934
0,1.204999999999984
0,1.1999999999999886
0,1.2090000000000032
1,1.4379999999999882
0,1.2040000000000075
0,1.233000000000004
0,1.2009999999999934
0,1.2009999999999934
0,1.2040000000000075
0,1.2239999999999895
0,1.1990000000000125
1,3.006
0,1.2970000000000257
1,1.3760000000000048
0,1.228999999999985
0,1.0049999999999957
0,1.149000000000001
1,2.515000000000015
0,1.2060000000000173
0,1.2009999999999934
0,1.198999999999984
0,1.2050000000000125
0,1.1990000000000125
0,1.2040000000000075
0,1.1050000000000182
0,1.1939999999999884
1,2.9480000000000075
0,0.856000000000023
0,1.2980000000000018
0,1.203000000000003
0,1.2059999999999889
0,1.2109999999999843
0,0.5440000000000111
0,1.2040000000000075
0,0.6479999999999961
0,1.2009999999999934
0,1.2060000000000173
1,2.917999999999978
0,1.2160000000000082
0,1.2249999999999943
0,1.2009999999999934
0,1.274000000000001
1,2.925999999999988
0,1.217000000000013
0,1.207000000000022
0,1.2060000000000173
0,0.7459999999999809
1,1.4000000000000057
1,1.3769999999999811
0,1.210000000000008
0,1.204999999999984
0,1.1999999999999886
0,1.2040000000000075
0,1.204999999999984
0,1.1990000000000125
0,1.1970000000000027
0,1.2109999999999843
1,2.9290000000000305
0,1.2160000000000082
0,1.2029999999999743
1,1.4510000000000218
1,2.971000000000004
0,1.2150000000000318
0,1.1999999999999886
0,1.4659999999999511
0,1.3190000000000168
0,1.2060000000000173
0,1.2300000000000182
0,1.2150000000000318
0,1.2129999999999654
1,2.8880000000000337
1,2.9470000000000027
0,1.20799999999997
0,1.2099999999999795
0,1.2129999999999654
0,1.210999999999956
0,1.210999999999956
0,1.0509999999999875
1,2.933999999999969
0,1.2110000000000127
0,1.2129999999999654
1,2.925999999999988
0,1.211999999999989
0,1.2029999999999743
0,1.211999999999989
0,1.2100000000000364
0,1.2169999999999843
0,1.2019999999999982
0,1.259999999999991
1,2.947999999999979
0,3.007000000000005
0,1.2409999999999854
0,1.2040000000000075
1,2.95799999999997
1,1.4149999999999636
1,2.9390000000000214
0,1.2160000000000082
0,1.2090000000000032
0,1.0540000000000305
0,1.2099999999999795
1,1.4370000000000118
1,1.4300000000000068
2,4.674000000000035
0,1.2250000000000227
0,1.2090000000000032
0,1.2069999999999936
0,1.211999999999989
0,1.231999999999971
0,1.2280000000000086
0,1.2069999999999936
1,1.966000000000008
0,1.2549999999999957
0,1.2019999999999982
0,1.2029999999999743
0,1.2030000000000314
0,1.2069999999999936
1,1.4169999999999732
0,1.2130000000000225
0,1.2030000000000314
1,2.9320000000000164
0,1.22199999999998
0,1.257000000000005
0,1.2580000000000382
